,asks,bids
2016-01-01 00:00:00,"{432.52: 1.17, 432.36: 6.9631, 431.26: 1.13740354, 432.56: 40.0, 432.84: 39.75, 432.6: 17.80005534, 431.04: 1.50857567, 433.0: 0.1, 430.89: 0.94125434, 431.7: 14.059, 432.11: 4.635, 432.53: 1.1774200000000001, 432.48: 13.8492, 431.25: 1.05719, 432.83: 9.2466, 431.06: 0.5, 432.9: 100.0, 432.59: 17.8, 431.41: 5.208, 432.88: 41.73}","{428.65: 0.02799486, 429.33: 39.75, 429.47: 32.0333, 428.83: 0.01846953, 428.93: 0.01846482, 429.36: 3.88767, 429.84: 8.39827523, 428.99: 36.18, 429.05: 5.0, 429.2: 48.9702, 428.79: 2.19339062, 428.35: 0.01849013, 428.68: 15.996, 428.7: 47.95, 429.0: 2.62727272, 429.31: 3.88, 429.01: 14.836, 428.32: 80.275, 429.02: 29.13, 429.35: 16.405}"
2016-01-01 00:00:10,"{432.53: 1.1774200000000001, 432.48: 13.8492, 431.26: 1.13740354, 432.56: 40.0, 432.88: 41.73, 431.39: 1.50857567, 431.06: 0.5, 432.66: 6.9484, 430.89: 0.94125434, 431.7: 14.059, 432.11: 4.635, 432.59: 17.8, 432.52: 1.17, 431.38: 1.05719, 433.0: 0.1, 432.99: 9.2576, 432.9: 100.0, 432.84: 39.75, 431.41: 5.208, 432.6: 17.80005534}","{428.65: 0.02799486, 429.38: 16.114, 429.35: 16.405, 429.28: 0.012, 428.83: 0.01846953, 428.93: 0.01846482, 429.84: 8.39827523, 428.99: 36.18, 429.31: 3.88, 429.05: 5.0, 428.79: 2.19339062, 428.68: 15.996, 429.0: 2.62727272, 428.7: 47.95, 429.5: 3.88767, 429.2: 48.9702, 429.33: 39.75, 429.01: 14.836, 429.02: 29.13, 429.39: 32.0333}"
2016-01-01 00:00:20,"{432.59: 17.8, 432.52: 1.17, 431.26: 1.13740354, 432.88: 41.73, 431.39: 1.50857567, 431.06: 0.5, 433.17: 1.30767013, 432.64: 6.9491, 430.89: 0.94125434, 431.7: 14.059, 432.11: 4.635, 432.84: 39.75, 432.53: 1.1774200000000001, 431.38: 1.05719, 433.0: 0.1, 432.9: 109.2394, 432.73: 13.8492, 431.41: 5.208, 433.33: 11.0, 432.6: 17.80005534}","{428.65: 0.02799486, 429.41: 9.2521, 429.33: 39.75, 429.01: 14.836, 428.83: 0.01846953, 428.93: 0.01846482, 429.86: 6.9593, 428.99: 36.18, 429.05: 5.0, 429.42: 3.8875200000000003, 428.79: 2.19339062, 428.35: 0.01849013, 428.68: 15.996, 428.7: 47.95, 429.02: 29.13, 429.0: 2.62727272, 429.31: 3.88, 428.32: 80.275, 429.2: 39.73, 429.35: 16.405}"
2016-01-01 00:00:30,"{432.6: 17.80005534, 432.36: 6.9556000000000004, 431.26: 1.13740354, 433.0: 0.1, 431.39: 1.50857567, 431.06: 0.5, 433.69: 0.13828808, 433.5: 1.7631978400000001, 432.95: 13.8492, 430.89: 0.94125434, 431.7: 14.059, 432.11: 4.635, 432.84: 39.75, 432.53: 1.1774200000000001, 431.38: 1.05719, 433.17: 1.30767013, 432.9: 100.0, 432.63: 9.266, 431.41: 5.208, 433.33: 11.0}","{429.47: 6.9589, 428.33: 4.41, 429.37: 32.0333, 429.28: 0.012, 428.79: 2.19339062, 428.83: 0.01846953, 429.36: 13.229, 428.93: 0.01846482, 429.31: 3.88, 429.05: 5.0, 428.35: 0.01849013, 428.65: 0.02799486, 429.46: 3.88747, 428.68: 15.996, 429.0: 2.62727272, 429.06: 9.2643, 429.33: 39.75, 429.01: 14.836, 429.35: 16.405, 429.89: 1.46527523}"
2016-01-01 00:00:40,"{432.58: 40.92, 432.36: 6.9556000000000004, 431.26: 1.13740354, 432.88: 41.73, 431.39: 1.50857567, 431.06: 0.5, 433.17: 1.30767013, 432.95: 13.8492, 430.89: 0.94125434, 431.7: 14.059, 432.11: 4.635, 432.59: 17.8, 432.53: 1.1774200000000001, 431.38: 1.05719, 433.0: 0.1, 432.9: 100.0, 432.63: 9.266, 431.41: 5.208, 433.33: 11.0, 432.6: 17.80005534}","{428.65: 0.02799486, 429.28: 0.012, 428.93: 0.01846482, 429.49: 32.0333, 429.34: 15.543, 428.99: 36.18, 429.05: 5.0, 429.2: 39.73, 428.79: 2.19339062, 428.83: 0.01846953, 428.68: 15.996, 429.0: 2.62727272, 428.7: 47.95, 429.5: 3.88737, 429.9: 8.38827523, 429.21: 48.9985, 429.31: 3.88, 429.01: 14.836, 429.02: 29.13, 429.35: 16.405}"
2016-01-01 00:00:50,"{432.58: 40.92, 432.36: 6.9556000000000004, 431.26: 1.13740354, 432.88: 41.73, 431.39: 1.50857567, 431.06: 0.5, 433.17: 1.30767013, 432.95: 13.8492, 430.89: 0.94125434, 431.7: 14.059, 432.11: 4.635, 432.59: 17.8, 432.53: 1.1774200000000001, 431.38: 1.05719, 433.0: 0.1, 432.9: 100.0, 432.63: 9.266, 431.41: 5.208, 433.33: 11.0, 432.6: 17.80005534}","{428.65: 0.02799486, 429.2: 39.73, 429.28: 0.012, 428.83: 0.01846953, 428.93: 0.01846482, 429.36: 12.483, 428.99: 36.18, 429.06: 9.2174, 429.05: 5.0, 428.79: 2.19339062, 428.68: 15.996, 428.7: 47.95, 429.45: 39.75, 429.0: 2.62727272, 429.9: 8.38827523, 429.46: 3.88737, 429.31: 3.88, 429.01: 14.836, 429.02: 29.13, 429.35: 16.405}"
2016-01-01 00:01:00,"{432.58: 40.92, 432.36: 6.9556000000000004, 431.26: 1.13740354, 432.88: 41.73, 431.39: 1.50857567, 431.06: 0.5, 433.17: 1.30767013, 432.95: 13.8492, 430.89: 0.86062333, 431.7: 14.059, 432.11: 4.635, 432.59: 17.8, 432.53: 1.1774200000000001, 431.38: 1.05719, 433.0: 0.1, 432.9: 100.0, 432.63: 9.266, 431.41: 5.208, 433.33: 11.0, 432.6: 17.80005534}","{428.65: 0.02799486, 429.45: 39.75, 429.01: 14.836, 428.83: 0.01846953, 428.93: 0.01846482, 429.05: 5.0, 428.99: 36.18, 429.46: 3.88737, 429.0: 2.62727272, 428.79: 2.19339062, 428.35: 0.01849013, 428.68: 15.996, 428.7: 47.95, 428.33: 4.41, 429.9: 8.38827523, 429.2: 48.9764, 429.31: 18.544, 428.32: 80.275, 429.02: 29.13, 429.35: 16.405}"
2016-01-01 00:01:10,"{432.58: 40.92, 432.35: 6.9594000000000005, 431.26: 1.13740354, 432.88: 41.73, 431.39: 1.50857567, 431.06: 0.5, 433.17: 1.30767013, 432.95: 13.8492, 430.89: 0.86062333, 431.7: 14.059, 432.11: 4.635, 432.59: 17.8, 432.53: 1.1774200000000001, 431.38: 1.05719, 433.0: 0.1, 432.9: 100.0, 432.63: 9.266, 431.41: 5.208, 433.33: 11.0, 432.6: 17.80005534}","{428.65: 0.02799486, 429.47: 14.916, 429.45: 39.75, 429.49: 32.0333, 428.83: 0.01846953, 428.93: 0.01846482, 428.99: 36.18, 429.05: 5.0, 429.2: 48.9764, 428.79: 2.19339062, 428.35: 0.01849013, 428.68: 15.996, 429.0: 2.62727272, 428.7: 47.95, 429.48: 3.88737, 429.9: 8.38827523, 429.35: 16.405, 429.31: 3.892, 429.01: 14.836, 429.02: 29.13}"
2016-01-01 00:01:20,"{432.58: 40.92, 432.35: 6.8916, 431.26: 1.13740354, 432.88: 41.73, 431.39: 1.50857567, 431.06: 0.5, 433.17: 1.30767013, 432.95: 13.8492, 430.89: 0.86062333, 431.7: 14.059, 432.11: 4.635, 432.59: 17.8, 432.53: 1.1774200000000001, 431.38: 1.05719, 433.0: 0.1, 433.21: 0.08, 432.9: 100.0, 432.63: 9.266, 431.41: 5.208, 432.6: 17.80005534}","{428.65: 0.02799486, 429.47: 2.35, 429.91: 32.0333, 429.01: 14.836, 428.83: 0.01846953, 428.93: 0.01846482, 428.99: 36.18, 429.05: 5.0, 429.2: 48.9764, 428.79: 2.19339062, 428.35: 0.01849013, 428.68: 15.996, 429.0: 2.62727272, 428.7: 47.95, 429.45: 39.75, 429.52: 3.88737, 429.9: 8.38827523, 429.35: 16.405, 429.31: 3.88, 429.02: 29.13}"
2016-01-01 00:01:30,"{432.58: 40.92, 432.37: 6.913, 431.26: 1.13740354, 432.88: 41.73, 431.39: 1.50857567, 431.06: 0.5, 433.17: 1.30767013, 433.22: 0.28, 432.95: 13.8492, 430.89: 0.86062333, 431.7: 14.059, 432.11: 4.635, 432.9: 100.0, 432.53: 1.1774200000000001, 432.59: 17.8, 433.0: 0.1, 432.63: 9.266, 431.38: 1.05719, 433.33: 11.0, 432.6: 17.80005534}","{428.65: 0.02799486, 429.45: 39.75, 429.01: 14.836, 428.83: 0.01846953, 428.93: 0.01846482, 429.55: 6.962, 428.99: 36.18, 429.31: 3.88, 429.05: 5.0, 428.79: 2.19339062, 429.06: 9.2711, 428.68: 15.996, 429.92: 33.49857523, 428.7: 47.95, 429.0: 2.62727272, 429.2: 39.73, 429.56: 3.88727, 428.35: 0.01849013, 429.02: 29.13, 429.35: 16.405}"
2016-01-01 00:01:40,"{432.58: 39.75, 432.41: 5.212, 432.89: 2.35, 432.88: 39.75, 432.6: 17.80005534, 431.26: 1.13740354, 433.17: 1.30767013, 433.22: 0.28, 432.95: 13.8492, 430.89: 0.86062333, 431.7: 14.059, 432.11: 4.635, 432.9: 100.0, 432.53: 1.1774200000000001, 431.06: 0.5, 433.0: 0.1, 432.63: 9.266, 431.67: 1.05719, 432.86: 18.6, 431.68: 1.50857567}","{428.31: 1.0, 428.65: 0.02799486, 429.93: 40.46187523, 429.01: 14.836, 428.83: 0.01846953, 428.93: 0.01846482, 429.05: 5.0, 428.99: 36.18, 429.46: 16.54921, 429.0: 2.62727272, 428.79: 2.19339062, 428.35: 0.01849013, 428.68: 15.996, 428.7: 47.95, 429.45: 39.75, 429.2: 39.73, 429.31: 3.892, 428.32: 14.605, 429.02: 29.13, 429.35: 16.405}"
